FinCap_Budget,FinCap_Goals,FinCap_EmergencyFund,FinCap_AutoDeposit,FinCap_IncomeExpenses,FinCap_LateFee
Yes,Not at all confident,No,No,No,Yes
No,Very confident,No,No,No,Yes
No,Very confident,Yes,Yes,No,No
No,Very confident,Yes,Yes,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
Yes,Very confident,No,No,Yes,Yes
Yes,Somewhat confident,Yes,Yes,No,Yes
No,Somewhat confident,No,No,Yes,Yes
Yes,Not at all confident,No,No,Yes,Yes
No,Very confident,No,No,Yes,No
Yes,Somewhat confident,Yes,Yes,Yes,No
No,Not at all confident,No,Yes,No,No
No,Somewhat confident,No,No,No,Yes
No,Very confident,No,No,Yes,No
Yes,Not at all confident,No,No,Yes,Yes
Yes,Somewhat confident,Yes,No,Yes,Yes
No,Somewhat confident,No,No,No,Yes
,,,,,
Yes,Somewhat confident,No,No,Yes,Yes
Yes,Somewhat confident,No,No,Yes,No
Yes,Very confident,No,No,No,No
Yes,Very confident,Yes,Yes,No,Yes
Yes,Not at all confident,No,No,No,Yes
Yes,Very confident,No,Yes,Yes,No
No,Somewhat confident,No,No,Yes,Yes
Yes,Very confident,No,Yes,No,No
Yes,Somewhat confident,No,No,No,Yes
,,,,,
No,Somewhat confident,No,No,No,No
Yes,Very confident,No,No,No,No
,,,,,
Yes,Very confident,No,No,No,No
Yes,Very confident,Yes,Yes,No,No
Yes,,,Yes,,
Yes,Somewhat confident,No,Yes,Yes,No
Yes,Very confident,No,Yes,Yes,Yes
No,Somewhat confident,No,No,No,No
,,,,,
Yes,Very confident,Yes,Yes,Yes,Yes
Yes,Somewhat confident,Yes,No,Yes,Yes
Yes,Somewhat confident,No,No,No,No
No,Somewhat confident,No,No,Yes,No
Yes,Very confident,No,Yes,Yes,No
Yes,Very confident,No,Yes,Yes,Yes
No,Very confident,No,Yes,No,No
Yes,Very confident,No,No,Yes,Yes
Yes,Very confident,No,No,No,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
Yes,Very confident,No,No,Yes,Yes
Yes,Somewhat confident,Yes,No,Yes,Yes
No,Somewhat confident,No,No,Yes,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
No,Somewhat confident,No,Yes,Yes,No
No,Very confident,No,No,Yes,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
No,Somewhat confident,No,No,No,Yes
No,Very confident,No,No,Yes,Yes
No,Very confident,No,No,No,Yes
Yes,Very confident,Yes,Yes,Yes,No
No,Very confident,No,No,Yes,No
No,Somewhat confident,No,No,No,No
Yes,Somewhat confident,Yes,Yes,Yes,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
No,Not at all confident,No,No,No,No
No,Somewhat confident,No,No,No,No
Yes,Not at all confident,No,No,No,Yes
Yes,Very confident,No,No,Yes,Yes
No,Somewhat confident,No,No,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
No,Very confident,No,No,No,Yes
Yes,Very confident,No,No,Yes,Yes
No,Somewhat confident,No,No,No,Yes
Yes,Very confident,No,No,No,Yes
Yes,Somewhat confident,No,No,No,Yes
Yes,Very confident,No,No,No,Yes
No,Somewhat confident,No,No,No,Yes
Yes,Very confident,Yes,,,Yes
No,Very confident,No,No,Yes,Yes
Yes,Somewhat confident,No,,,
No,Somewhat confident,No,No,No,No
Yes,Somewhat confident,No,Yes,No,Yes
Yes,Very confident,No,Yes,Yes,Yes
Yes,Very confident,No,No,Yes,No
Yes,Somewhat confident,No,Yes,No,Yes
Yes,Not at all confident,No,No,Yes,Yes
Yes,Somewhat confident,Yes,Yes,Yes,Yes
Yes,Somewhat confident,No,Yes,Yes,No
Yes,Somewhat confident,No,Yes,No,Yes
No,Not at all confident,No,No,No,No
Yes,Not at all confident,No,No,No,No
Yes,Not at all confident,No,No,No,No
Yes,Somewhat confident,Yes,Yes,Yes,Yes
Yes,Somewhat confident,No,Yes,Yes,Yes
Yes,Not at all confident,No,No,No,Yes
No,Somewhat confident,No,No,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
No,Somewhat confident,No,No,Yes,Yes
Yes,Somewhat confident,Yes,No,No,Yes
Yes,Very confident,No,Yes,Yes,No
Yes,Very confident,Yes,No,Yes,Yes
No,Somewhat confident,No,No,No,No
No,Somewhat confident,No,No,Yes,No
No,Somewhat confident,No,No,Yes,Yes
Yes,Somewhat confident,No,Yes,No,Yes
No,Very confident,No,No,No,Yes
No,Not at all confident,No,No,No,Yes
No,Somewhat confident,No,No,No,No
Yes,Not at all confident,No,No,No,Yes
Yes,Somewhat confident,No,Yes,No,Yes
No,Not at all confident,No,No,No,No
No,Somewhat confident,No,No,Yes,Yes
Yes,Somewhat confident,No,No,No,Yes
Yes,Very confident,Yes,No,Yes,Yes
No,Very confident,No,No,Yes,Yes
No,Not at all confident,No,No,No,Yes
Yes,Not at all confident,No,No,No,Yes
Yes,Somewhat confident,Yes,Yes,No,Yes
No,Somewhat confident,No,No,No,No
Yes,Very confident,Yes,No,Yes,Yes
Yes,Somewhat confident,No,No,Yes,Yes
Yes,Somewhat confident,No,No,No,Yes
Yes,Somewhat confident,Yes,Yes,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
Yes,Somewhat confident,No,Yes,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
No,Very confident,No,No,Yes,No
Yes,Very confident,Yes,Yes,Yes,Yes
No,Somewhat confident,No,No,No,Yes
No,Very confident,No,No,Yes,Yes
Yes,Not at all confident,Yes,Yes,Yes,Yes
Yes,Very confident,No,No,No,No
Yes,Somewhat confident,No,Yes,Yes,Yes
Yes,Very confident,Yes,Yes,No,Yes
Yes,Somewhat confident,Yes,Yes,Yes,Yes
Yes,Somewhat confident,Yes,No,Yes,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
Yes,Very confident,Yes,Yes,Yes,Yes
No,Somewhat confident,No,No,Yes,Yes
No,Somewhat confident,No,No,No,No
No,Somewhat confident,No,Yes,Yes,Yes
Yes,Very confident,No,Yes,Yes,Yes
No,Very confident,No,Yes,Yes,Yes
No,Somewhat confident,No,Yes,Yes,Yes
No,Somewhat confident,No,Yes,Yes,Yes
No,Very confident,No,Yes,Yes,Yes
No,Somewhat confident,No,No,No,Yes
No,Somewhat confident,No,No,Yes,No
No,Very confident,No,Yes,Yes,No
No,Very confident,No,No,Yes,Yes
Yes,Very confident,Yes,No,Yes,Yes
No,Somewhat confident,No,No,No,Yes
No,Very confident,No,Yes,Yes,Yes
No,Not at all confident,No,No,No,No
No,Somewhat confident,No,No,No,Yes
No,Somewhat confident,No,No,No,No
No,Somewhat confident,No,No,Yes,No
Yes,Somewhat confident,No,No,Yes,No
Yes,Somewhat confident,No,No,Yes,Yes
No,Somewhat confident,No,No,No,Yes
No,Very confident,No,No,No,Yes
No,Not at all confident,No,No,Yes,Yes
Yes,Very confident,No,No,No,No
No,Not at all confident,No,No,No,Yes
Yes,Somewhat confident,Yes,No,No,No
No,Somewhat confident,No,No,No,Yes
No,Somewhat confident,No,No,No,Yes
No,Somewhat confident,No,Yes,No,No
No,Somewhat confident,No,Yes,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Somewhat confident,No,Yes,Yes,No
,,,,,
Yes,Very confident,Yes,Yes,No,No
,,,,,
,,,,,
Yes,Very confident,No,Yes,Yes,Yes
Yes,Not at all confident,Yes,Yes,No,Yes
,,,,,
No,Somewhat confident,No,No,Yes,No
,,,,,
Yes,Somewhat confident,No,No,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,No,No,No
Yes,Very confident,No,Yes,No,No
Yes,Somewhat confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,Yes,No,Yes,No
Yes,Very confident,No,No,No,No
,,,,,
,,,,,
,,,,,
No,Very confident,No,Yes,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,Yes,No
No,Somewhat confident,No,No,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
No,Somewhat confident,No,No,No,No
,,,,,
Yes,Somewhat confident,No,No,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
Yes,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,No,Yes
,,,,,
,,,,,
,,,,,
No,Somewhat confident,No,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,No,No
Yes,Somewhat confident,Yes,Yes,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
Yes,Somewhat confident,No,Yes,No,No
,,,,,
,,,,,
Yes,Very confident,No,Yes,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
No,Very confident,No,No,No,Yes
No,Very confident,Yes,Yes,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Somewhat confident,No,No,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,Yes,No,No
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
,,,,,
,,,,,
No,Somewhat confident,No,Yes,No,Yes
,,,,,
,,,,,
No,Somewhat confident,No,No,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,No,Yes,No
No,Somewhat confident,No,Yes,No,Yes
,,,,,
,,,,,
Yes,Very confident,No,No,No,No
,,,,,
No,Not at all confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,Yes,Yes,No
Yes,Very confident,No,No,Yes,No
,,,,,
,,,,,
No,Very confident,No,No,Yes,Yes
,,,,,
Yes,Somewhat confident,No,No,Yes,Yes
,,,,,
Yes,Very confident,No,Yes,Yes,No
Yes,Very confident,No,Yes,Yes,No
,,,,,
No,Somewhat confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Somewhat confident,No,No,No,No
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,No,Yes,No
,,,,,
No,Very confident,No,No,No,Yes
,,,,,
,,,,,
No,Very confident,No,Yes,Yes,No
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
No,Very confident,No,Yes,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
Yes,Very confident,Yes,Yes,Yes,No
Yes,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
No,Somewhat confident,No,Yes,No,No
Yes,Very confident,No,No,No,No
Yes,Very confident,No,Yes,Yes,No
Yes,Somewhat confident,No,Yes,Yes,No
No,Somewhat confident,No,Yes,Yes,No
Yes,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,No,No
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,No,No
Yes,Very confident,No,Yes,Yes,No
No,Somewhat confident,No,No,No,No
Yes,Very confident,No,No,Yes,Yes
No,Very confident,No,No,Yes,No
No,Somewhat confident,No,No,No,No
Yes,Very confident,Yes,No,Yes,No
No,Somewhat confident,No,Yes,No,No
Yes,Very confident,No,Yes,Yes,No
No,Very confident,No,No,Yes,No
No,Very confident,No,No,No,No
Yes,Very confident,No,No,Yes,No
Yes,Very confident,Yes,No,Yes,No
No,Very confident,No,Yes,No,Yes
No,Very confident,No,No,No,No
Yes,Very confident,No,No,Yes,No
No,Somewhat confident,No,No,Yes,No
Yes,Very confident,No,Yes,No,No
Yes,Very confident,No,No,No,No
No,Somewhat confident,No,No,No,No
Yes,Very confident,No,No,No,No
No,Very confident,No,No,Yes,Yes
No,Very confident,No,Yes,Yes,Yes
Yes,Very confident,No,No,No,No
No,Somewhat confident,No,No,Yes,Yes
No,Very confident,Yes,No,No,No
No,Very confident,No,Yes,No,Yes
Yes,Somewhat confident,No,No,No,No
Yes,Very confident,Yes,Yes,Yes,No
Yes,Very confident,No,Yes,No,No
No,Very confident,No,No,Yes,No
Yes,Very confident,Yes,Yes,No,No
Yes,Very confident,Yes,Yes,No,No
No,Somewhat confident,No,Yes,No,Yes
No,Somewhat confident,No,No,No,No
No,Very confident,No,Yes,No,Yes
No,Somewhat confident,No,No,Yes,No
No,Not at all confident,No,No,No,No
Yes,Very confident,No,No,Yes,No
Yes,Very confident,Yes,Yes,Yes,No
Yes,Very confident,Yes,Yes,Yes,No
Yes,Not at all confident,No,No,Yes,No
Yes,Very confident,Yes,No,Yes,No
No,Very confident,No,No,No,Yes
Yes,Very confident,No,Yes,Yes,No
No,Very confident,No,No,No,Yes
No,Very confident,No,No,No,No
Yes,Very confident,No,No,Yes,No
Yes,Very confident,No,No,No,Yes
Yes,Not at all confident,No,No,No,No
No,Very confident,No,Yes,Yes,No
No,Very confident,No,No,No,No
No,Very confident,No,No,No,No
Yes,Not at all confident,Yes,No,No,Yes
Yes,Not at all confident,Yes,No,No,Yes
Yes,Very confident,No,No,No,No
No,Very confident,No,No,No,No
Yes,Very confident,No,No,Yes,Yes
Yes,Very confident,No,Yes,Yes,No
No,Somewhat confident,No,No,No,No
No,Very confident,No,No,No,No
No,Very confident,No,Yes,No,No
Yes,Very confident,No,Yes,No,No
No,Very confident,No,No,No,No
Yes,Very confident,No,No,No,No
No,,No,,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,,Yes,,Yes,No
,,,,,
,,,,,
Yes,,No,Yes,No,No
,,Yes,,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,No,,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,No,,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
Yes,,Yes,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,No,,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,No,,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,No,No,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,,No,,No,No
,,No,,Yes,No
,,,,,
No,,Yes,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,Yes,,Yes,No
No,,Yes,,No,No
No,,No,,No,No
,,,,,
,,,,,
No,,Yes,,Yes,No
No,,No,,No,
Yes,,Yes,,No,No
,,,,,
No,,Yes,,No,No
,,,,,
,,,,,
No,,No,,Yes,No
,,,,,
,,,,,
No,,Yes,,Yes,Yes
No,,No,No,No,No
No,,No,No,No,No
Yes,,No,No,No,No
,,,,,
Yes,,No,,Yes,No
No,,No,,No,Yes
Yes,,No,,,No
Yes,,No,,Yes,No
Yes,,Yes,,Yes,No
,,,,,
Yes,,Yes,,Yes,No
Yes,,No,,No,No
No,,No,,No,No
No,,No,,No,Yes
Yes,,No,,Yes,No
,,,,,
,,,,,
,,,,,
No,,Yes,,No,Yes
,,,,,
,,,,,
Yes,,No,,Yes,No
No,,Yes,,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,,Yes,,No,No
,,,,,
Yes,,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
No,,Yes,,Yes,No
,,,,,
Yes,,Yes,,Yes,No
Yes,,No,,No,Yes
No,,No,No,No,No
,,,,,
,,,,,
Yes,,No,No,No,No
Yes,,No,,No,Yes
,,,,,
Yes,,No,,No,No
Yes,,Yes,,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,,No,,Yes,No
Yes,,No,,Yes,No
,,,,,
,,No,No,Yes,No
Yes,,No,,No,No
,,,,,
No,,No,,,Yes
No,,Yes,,Yes,
,,,,,
Yes,,No,,Yes,Yes
,,,,,
,,,,,
No,,No,No,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
Yes,,No,,,No
No,,No,No,Yes,Yes
No,,No,,No,No
No,,No,No,No,Yes
Yes,,No,,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,No,Yes
Yes,Very confident,No,Yes,Yes,No
Yes,Very confident,No,No,Yes,Yes
Yes,Somewhat confident,No,No,No,No
Yes,Very confident,Yes,No,No,No
Yes,Somewhat confident,No,No,No,Yes
Yes,Somewhat confident,No,No,Yes,Yes
Yes,Somewhat confident,No,No,No,No
Yes,Somewhat confident,No,No,No,Yes
No,Very confident,No,No,Yes,No
Yes,Very confident,No,Yes,Yes,Yes
Yes,Very confident,No,No,No,Yes
Yes,Somewhat confident,No,No,No,No
Yes,Somewhat confident,No,No,Yes,No
Yes,Very confident,No,Yes,No,No
No,Somewhat confident,No,No,No,Yes
Yes,Somewhat confident,No,No,Yes,
Yes,Very confident,No,No,No,No
No,Somewhat confident,No,No,Yes,Yes
Yes,Very confident,No,Yes,Yes,No
Yes,Somewhat confident,No,No,No,Yes
No,Not at all confident,No,No,No,Yes
Yes,Very confident,No,No,Yes,Yes
No,Somewhat confident,No,No,No,No
No,Somewhat confident,No,Yes,Yes,Yes
Yes,Somewhat confident,No,No,No,No
Yes,Not at all confident,No,Yes,No,Yes
Yes,Somewhat confident,No,No,No,Yes
No,Somewhat confident,No,No,Yes,No
No,Somewhat confident,No,No,No,Yes
Yes,Somewhat confident,No,Yes,No,Yes
Yes,Somewhat confident,No,No,No,No
No,Somewhat confident,No,Yes,No,Yes
Yes,Somewhat confident,No,No,No,Yes
Yes,Very confident,No,No,Yes,Yes
Yes,Very confident,No,No,No,No
No,Not at all confident,No,Yes,No,Yes
Yes,Very confident,No,No,Yes,Yes
No,Somewhat confident,No,Yes,Yes,No
Yes,Somewhat confident,No,Yes,Yes,No
Yes,Somewhat confident,No,No,No,Yes
Yes,Very confident,No,Yes,Yes,No
Yes,Very confident,No,Yes,Yes,No
No,Somewhat confident,No,No,No,Yes
No,Very confident,No,Yes,No,Yes
No,Somewhat confident,No,Yes,No,Yes
No,Very confident,No,No,No,Yes
No,Very confident,No,No,Yes,No
No,Somewhat confident,No,Yes,No,Yes
Yes,Not at all confident,No,No,Yes,No
No,Somewhat confident,No,No,No,Yes
Yes,Somewhat confident,Yes,No,Yes,Yes
No,Very confident,No,Yes,No,No
Yes,Not at all confident,No,No,Yes,Yes
Yes,Somewhat confident,Yes,Yes,Yes,Yes
Yes,Somewhat confident,No,No,Yes,Yes
No,Not at all confident,No,No,Yes,Yes
Yes,Not at all confident,Yes,No,No,No
,,,,,
,,,,,
,,,,,
No,Not at all confident,No,No,Yes,No
,,,,,
Yes,Somewhat confident,No,Yes,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Very confident,No,Yes,Yes,Yes
No,Somewhat confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Not at all confident,No,Yes,No,No
,,,,,
,,,,,
,,,,,
,,,,,
No,Very confident,No,No,Yes,Yes
,,,,,
Yes,Somewhat confident,No,Yes,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Not at all confident,Yes,Yes,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Somewhat confident,No,No,No,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,,No,No,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
No,Not at all confident,No,No,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,No,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,No,Yes,No
,,,,,
No,Very confident,No,No,Yes,Yes
No,Very confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,Yes,No
No,Somewhat confident,No,No,No,No
,,,,,
,,,,,
Yes,Very confident,No,No,Yes,No
,,,,,
No,Somewhat confident,No,No,No,No
,,,,,
Yes,Somewhat confident,No,No,Yes,No
Yes,Very confident,No,No,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,Yes,Yes,No
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Very confident,Yes,No,Yes,Yes
No,Somewhat confident,No,No,Yes,Yes
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Yes,Somewhat confident,No,No,Yes,No
No,Somewhat confident,No,No,No,No
Yes,Somewhat confident,No,No,Yes,Yes
,,,,,
,,,,,
Yes,Very confident,No,,No,Yes
,,,,,
No,Somewhat confident,No,No,No,Yes
,,,,,
,,,,,
No,Very confident,,Yes,No,No
,,,,,
No,Somewhat confident,No,No,Yes,No
,,,,,
